COLOR,SOL,SEQ_ID,FEATURE,LTST,INCIDENCE_ANGLE,EMISSION_ANGLE,SOLAR_ELEVATION,SOLAR_AZIMUTH,INSTRUMENT,L6,L0B,R0B,L5,L0G,R0G,L4,L0R,R0R,L3,L2,L1,R1,R2,R3,R4,R5,R6,L6_STD,L0B_STD,R0B_STD,L5_STD,L0G_STD,R0G_STD,L4_STD,L0R_STD,R0R_STD,L3_STD,L2_STD,L1_STD,R1_STD,R2_STD,R3_STD,R4_STD,R5_STD,R6_STD,L6_COUNT,L0B_COUNT,R0B_COUNT,L5_COUNT,L0G_COUNT,R0G_COUNT,L4_COUNT,L0R_COUNT,R0R_COUNT,L3_COUNT,L2_COUNT,L1_COUNT,R1_COUNT,R2_COUNT,R3_COUNT,R4_COUNT,R5_COUNT,R6_COUNT,AZIMUTH_ANGLE,FORMAT_VERSION,CALTARGET_ELEMENT,FILE_TIMESTAMP
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.48313384,0.17882662,0.17477117,0.34009193,0.17882662,0.17477117,0.17555838,0.17882662,0.17477117,0.17252426,0.22059011,0.21657962,0.21342811,0.30451111,0.49358923,0.64543337,0.72053054,0.70818626,0.00094128395,0.0021103659,0.0014808391,0.0012598654,0.0021103659,0.0014808391,0.0016287468,0.0021103659,0.0014808391,0.0011347675,0.0012446395,0.00093192831,0.0010310209,0.0010273187,0.001198375,0.0014197769,0.0011859472,0.00095685182,73,73,72,73,73,72,73,73,72,73,73,73,72,72,72,72,72,72,76.46368,1.0 2021-09-20,BLUE_CHIP_CENTER,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.18148875,0.18493908,0.18069234,0.34364865,0.18493908,0.18069234,0.18636578,0.18493908,0.18069234,0.18221691,0.23788731,0.23156226,0.22829241,0.32130612,0.49920373,0.63637154,0.7052427,0.6975908,0.0011574254,0.0017842292,0.0017476137,0.0016887825,0.0017842292,0.0017476137,0.0015643407,0.0017842292,0.0017476137,0.0013124846,0.0015630484,0.001093424,0.0011417935,0.0012421386,0.0013603654,0.001626118,0.0012995381,0.0014302258,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,76.46368,1.0 2021-09-20,GREEN_CHIP_CENTER,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.1444639,0.79994357,0.79736972,0.64071584,0.79994357,0.79736972,0.80252502,0.79994357,0.79736972,0.83220689,0.86092246,0.86411531,0.86093444,0.87818297,0.88906188,0.89669541,0.90004787,0.89774474,0.001171434,0.0029273522,0.0027235095,0.0025448927,0.0029273522,0.0027235095,0.001922122,0.0029273522,0.0027235095,0.0024891084,0.0018418928,0.001566899,0.0012661047,0.0020563863,0.0020310996,0.0018953062,0.0016580844,0.0013973221,73,73,71,73,73,71,73,73,71,73,73,73,71,71,71,71,71,71,76.46368,1.0 2021-09-20,YELLOW_CHIP_CENTER,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.13096698,0.53699429,0.53512547,0.12673488,0.53699429,0.53512547,0.29705794,0.53699429,0.53512547,0.75069879,0.84187994,0.83884267,0.8374945,0.83803569,0.84001849,0.8457351,0.84837361,0.8387447,0.001027504,0.0020519681,0.0018528542,0.0012095689,0.0020519681,0.0018528542,0.0014121144,0.0020519681,0.0018528542,0.0019303668,0.0016666445,0.0016804595,0.00149784,0.0016886118,0.0017173733,0.0016469695,0.001463142,0.0013844781,69,69,71,69,69,71,69,69,71,69,69,69,71,71,71,71,71,71,76.46368,1.0 2021-09-20,RED_CHIP_CENTER,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.10307832,0.083816454,0.078967131,0.093419988,0.083816454,0.078967131,0.085184108,0.083816454,0.078967131,0.081041219,0.090164604,0.099484167,0.095286009,0.13784848,0.17775111,0.19921904,0.2175781,0.21749007,0.00062255794,0.0012366617,0.0011765486,0.00098766898,0.0012366617,0.0011765486,0.0013213353,0.0012366617,0.0011765486,0.0012862317,0.0010981573,0.00087185478,0.00098778336,0.00090140032,0.00084534127,0.00076222491,0.00081942377,0.00067955976,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,76.46368,1.0 2021-09-20,BLACK_CHIP_CENTER,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.42743725,0.41967284,0.41603387,0.41953758,0.41967284,0.41603387,0.41939645,0.41967284,0.41603387,0.41973142,0.41148233,0.39992982,0.39611623,0.3735462,0.35889575,0.34955288,0.33630132,0.32763953,0.0015357641,0.0025711486,0.0020495046,0.0018069974,0.0025711486,0.0020495046,0.0015509932,0.0025711486,0.0020495046,0.0016260719,0.0015599459,0.0010683334,0.0010322469,0.0013491919,0.0011655977,0.00099157518,0.0010202112,0.00081127693,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,76.46368,1.0 2021-09-20,DARK_GRAY_CHIP_CENTER,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.75293182,0.75212807,0.74871855,0.75858291,0.75212807,0.74871855,0.75461589,0.75212807,0.74871855,0.74756772,0.73698115,0.72494937,0.72201062,0.70512462,0.69360513,0.6847604,0.66864512,0.65760928,0.0018620225,0.0038438404,0.0035626346,0.0027595821,0.0038438404,0.0035626346,0.0030097552,0.0038438404,0.0035626346,0.0024032757,0.0024620962,0.0013249321,0.0016092123,0.0019752325,0.0016469601,0.0013443578,0.0014563485,0.0011532125,63,63,60,63,63,60,63,63,60,63,63,63,60,60,60,60,60,60,76.46368,1.0 2021-09-20,LIGHT_GRAY_CHIP_CENTER,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,1.0010158,1.0201829,1.0230519,1.0131224,1.0201829,1.0230519,1.0188277,1.0201829,1.0230519,1.0212876,1.0199816,1.0181098,1.0211955,1.0255554,1.0246289,1.0234575,1.0223378,1.0218632,0.0019450254,0.0043831339,0.0039046859,0.0030682854,0.0043831339,0.0039046859,0.0027592522,0.0043831339,0.0039046859,0.0026177437,0.0027830679,0.0023584133,0.0026860463,0.0026933911,0.0025236165,0.0022527365,0.0020376454,0.0017718144,69,69,62,69,69,62,69,69,62,69,69,69,62,62,62,62,62,62,76.46368,1.0 2021-09-20,WHITE_CHIP_CENTER,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.10307832,0.083816454,0.078967131,0.093419988,0.083816454,0.078967131,0.085184108,0.083816454,0.078967131,0.081041219,0.090164604,0.099484167,0.095286009,0.13784848,0.17775111,0.19921904,0.2175781,0.21749007,0.00091018546,0.0011954392,0.0011579019,0.0010299702,0.0011954392,0.0011579019,0.0010310418,0.0011954392,0.0011579019,0.00090547285,0.00084430181,0.00077727893,0.00072746235,0.00085654004,0.00084293731,0.0008808998,0.00091516141,0.00076769835,1248,1248,1353,1248,1248,1353,1248,1248,1353,1248,1248,1247,1353,1353,1353,1353,1353,1353,76.46368,1.0 2021-09-20,BLACK_RING,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.42743725,0.41967284,0.41603387,0.41953758,0.41967284,0.41603387,0.41939645,0.41967284,0.41603387,0.41973142,0.41148233,0.39992982,0.39611623,0.3735462,0.35889575,0.34955288,0.33630132,0.32763953,0.0025246078,0.0026512741,0.0024256427,0.0023262671,0.0026512741,0.0024256427,0.001903069,0.0026512741,0.0024256427,0.0016442795,0.0013669039,0.0011880548,0.0012265812,0.001290058,0.0011479656,0.0010708974,0.0010271791,0.00084336586,3312,3312,3277,3312,3312,3277,3312,3312,3277,3312,3311,3312,3277,3275,3275,3275,3275,3275,76.46368,1.0 2021-09-20,DARK_GRAY_RING,2023-02-16T20:36:20.060454
